Event	AAAA	AAA	AA	A	BB	B
25 Y Free						
50 Y Free	27.49	28.69	29.89	31.09	34.59	38.19
100 Y Free	1:00.69	1:03.79	1:06.79	1:09.79	1:18.89	1:27.99
200 Y Free	2:12.69	2:18.99	2:25.29	2:31.59	2:50.59	3:09.49
500 Y Free	5:52.99	6:09.79	6:26.59	6:43.39	7:33.79	8:24.29
1000 Y Free						
1650 Y Free						
25 Y Back						
50 Y Back	32.19	33.99	35.79	37.59	42.89	48.29
100 Y Back	1:08.99	1:12.49 	1:16.09	1:19.59	1:30.09	1:40.69
200 Y Back						
25 Y Breast						
50 Y Breast	36.39	38.29	40.19	42.09	47.69	53.39
100 Y Breast	1:18.79	1:22.69	1:26.59 	1:30.59 	1:42.29 	1:54.09
200 Y Breast
25 Y Fly						
50 Y Fly	30.79	32.59	34.29	35.99	41.29	46.49
100 Y Fly	1:09.79	1:14.59	1:19.49	1:24.39 	1:38.99 	1:53.49 
200 Y Fly						
100 Y IM	1:09.79	1:13.09	1:16.39	1:19.69	1:29.69 	1:39.69 
200 Y IM	2:30.89	2:38.39	2:45.89	2:53.49	3:15.99	3:38.59
400 Y IM						
50 M Free	31.59	32.99	34.39	35.69	39.79	43.89
100 M Free	1:09.79	1:13.19	1:16.69	1:20.19	1:30.59	1:40.99
200 M Free	2:31.69	2:38.89	2:46.09	2:53.39	3:14.99	3:36.69
400 M Free	5:20.79 	5:36.09 	5:51.39	6:06.59	6:52.49	7:38.29
800 M Free  				
1500 M Free 					
50 M Back	36.99	38.99	41.09	43.09	49.29	55.39
100 M Back	1:19.99 	1:24.09	1:28.19	1:32.29	1:44.49	1:56.69
200 M Back  
50 M Breast	41.49	43.59	45.79	47.89	54.39	1:00.89
100 M Breast	1:31.69	1:36.29	1:40.89	1:45.49 	1:59.19	2:12.89
200 M Breat						
50 M Fly	34.69	36.59	38.59	40.59	46.39	52.29
100 M Fly	1:19.59 	1:25.09	1:30.69	1:36.19	1:52.89	2:09.49 
200 M Fly						
200 M IM	2:52.19	3:00.79	3:09.39	3:17.89	3:43.69	4:09.49
400 M IM						
