Event	AAAA	AAA	AA	A	BB	B
25 Y Free						
50 Y Free	28.29	29.59	30.89	32.09	35.99	39.79
100 Y Free	1:01.79	1:04.99	1:08.29	1:11.49	1:21.09	1:30.79
200 Y Free	2:16.19	2:23.59	2:30.99	2:38.39	3:00.59	3:22.79
500 Y Free	6:01.69	6:18.99	6:36.19	6:53.39	7:45.09	8:36.69
1000 Y Free						
1650 Y Free						
25 Y Back						
50 Y Back	32.59	34.39	36.19	37.99	43.29	48.59
100 Y Back	1:10.59	1:14.49	1:18.39	1:22.29	1:33.99	1:45.79
200 Y Back						
25 Y Breast						
50 Y Breast	 36.89	38.89	40.89	42.79	48.69	54.59
100 Y Breast	1:20.19	1:24.69	1:29.09	1:33.59	1:46.89	2:00.29
200 Y Breast
25 Y Fly						
50 Y Fly	31.29	33.19	35.09	36.99	42.69	48.39
100 Y Fly	1:10.89	1:15.99	1:20.99	1:26.09	1:41.39	1:56.69
200 Y Fly						
100 Y IM	1:10.99	1:14.69	1:18.39	1:22.09	1:33.19	1:44.29
200 Y IM	2:32.19	2:39.99	2:47.69	2:55.49	3:18.79	3:42.09
400 Y IM						
50 M Free	32.19	33.69	35.09	36.59	40.89	45.29
100 M Free	1:10.79	1:14.49	1:18.19	1:21.89	1:32.99	1:44.09
200 M Free	2:35.09	2:43.49	2:51.99	3:00.39	3:25.69	3:50.99
400 M Free	5:27.99	5:43.69	5:59.29	6:14.89	7:01.69	7:48.59
800 M Free						
1500 M Free						
50 M Back	37.49	39.49	41.59	43.59	49.69	55.79
100 M Back	1:21.09	1:25.59	1:30.09	1:34.59	1:48.09	2:01.59
200 M Back						
50 M Breast	42.09	44.29	46.49	48.79	55.49	1:02.19
100 M Breast	1:32.99	1:38.09	1:43.29	1:48.39	2:03.89	2:19.39
200 M Breat						
50 M Fly	35.19	37.29	39.49	41.59	48.09	54.49
100 M Fly	1:20.59	1:26.39	1:32.19	1:37.99	1:55.39	2:12.79
200 M Fly						
200 M IM	2:55.29	3:04.19	3:13.09	3:22.09	3:48.89	4:15.69
400 M IM						
