	AAAA	AAA	AA	A	BB	B
25 Y Free						
50 Y Free	24.59	25.79	26.99	28.09	30.49	32.79
100 Y Free	53.59	56.19	58.69	1:01.29	1:06.39	1:11.49
200 Y Free	1:56.99	2:02.59	2:08.19	2:13.69	2:24.89	2:35.99 
500 Y Free	5:14.99	5:29.99	5:44.99	5:59.99	6:29.99	6:59.89
1000 Y Free	11:02.59	11:34.19	12:05.79	12:37.29	13:40.39	14:43.49
1650 Y Free	18:20.79	19:13.19	20:05.59	20:58.09	22:42.89	24:27.69
25 Y Back						
50 Y Back	28.19	29.69	31.19	32.69	35.59	38.49
100 Y Back	59.49	1:02.79	1:05.99	1:09.29	1:15.69	1:22.19
200 Y Back	2:09.69	2:15.89	2:21.99	2:28.19	2:40.49	2:52.89
25 Y Breast						
50 Y Breast	31.49	33.29	34.99	36.69	40.09	43.49
100 Y Breast	1:07.79	1:11.39	1:14.89	1:18.39	1:25.49	1:32.59
200 Y Breast	2:27.29	2:34.39	2:41.39	2:48.39	3:02.39	3:16.39
25 Y Fly						
50 Y Fly	26.69	28.19	29.69	31.19	34.19	37.09
100 Y Fly	59.09	1:02.49	1:05.89	1:09.29	1:16.09	1:22.89
200 Y Fly	2:12.39	2:18.69	2:24.99	2:31.39	2:43.99	2:56.59
100 Y IM	1:01.09	1:03.99	1:06.99	1:09.99	1:15.89	1:21.89
200 Y IM	2:12.09	2:18.79	2:25.59	2:32.29	2:45.79	2:59.29
400 Y IM	4:42.79	4:56.29	5:09.79	5:23.19	5:50.09	6:17.09
50 M Free	28.09	29.39	30.69	32.09	34.79	37.39
100 M Free	1:01.59	1:04.49	1:07.49	1:10.39	1:16.19	1:22.09
200 M Free	2:14.39	2:20.79	2:27.19	2:33.59	2:46.39	2:59.19
400 M Free	4:45.89	4:59.49	5:13.09	5:26.69	5:53.89	6:21.09
800 M Free	10:00.09	10:28.69	10:57.29	11:25.89	12:22.99	13:20.19
1500 M Free	19:23.89	20:19.29	21:14.69	22:10.19	24:00.99	25:51.79
50 M Back	32.59	34.29	35.99	37.69	41.09	44.49
100 M Back	1:10.39	1:14.29	1:18.09	1:21.89	1:29.59	1:37.19
200 M Back	2:32.19	2:39.49	2:46.69	2:53.99	3:08.49	3:22.99
50 M Breast	36.09	38.09	39.99	41.99	45.89	49.79
100 M Breast	1:18.99	1:23.09	1:27.19	1:31.29	1:39.59	1:47.79
200 M Breast	2:50.99	2:59.09	3:07.19	3:15.39	3:31.59	3:47.89
50 M Fly	30.29	31.99	33.59	35.29	38.69	41.99
100 M Fly	1:07.79	1:11.69	1:15.59	1:19.49	1:27.29	1:35.09
200 M Fly	2:33.59	2:40.89	2:48.29	2:55.59	3:10.19	3:24.79
200 M IM	2:30.59	2:38.29	2:45.99	2:53.69	3:08.99	3:24.39
400 M IM	5:28.39	5:44.09	5:59.69	6:15.39	6:46.59	7:17.89
